"url","id","label","label_it","label_en","label_de","level"
"461822","46.18.22","Attività di intermediari del commercio all'ingrosso di biciclette","Attività di intermediari del commercio all'ingrosso di biciclette","Activities of agents involved in the wholesale of bicycles","Tätigkeiten der Großhandelsvermittlung von Fahrrädern","6"
"461823","46.18.23","Attività di intermediari del commercio all'ingrosso di altre attrezzature sportive","Attività di intermediari del commercio all'ingrosso di altre attrezzature sportive","Activities of agents involved in the wholesale of other sports goods","Tätigkeiten der Großhandelsvermittlung von anderen Sportgeräten","6"
"461824","46.18.24","Attività di intermediari del commercio all'ingrosso di orologi e gioielli","Attività di intermediari del commercio all'ingrosso di orologi e gioielli","Activities of agents involved in the wholesale of watches, clocks and jewellery","Tätigkeiten der Großhandelsvermittlung von Uhren und Schmuck","6"
"461825","46.18.25","Attività di intermediari del commercio all'ingrosso di oggetti di bigiotteria","Attività di intermediari del commercio all'ingrosso di oggetti di bigiotteria","Activities of agents involved in the wholesale of imitation jewellery","Tätigkeiten der Großhandelsvermittlung von Fantasieschmuck","6"
"461826","46.18.26","Attività di intermediari del commercio all'ingrosso di apparecchiature fotografiche e strumenti ottici","Attività di intermediari del commercio all'ingrosso di apparecchiature fotografiche e strumenti ottici","Activities of agents involved in the wholesale of photographic and optical equipment","Tätigkeiten der Großhandelsvermittlung von fotografischen und optischen Geräten und Instrumenten","6"
"46183","46.18.3","Attività di intermediari del commercio all'ingrosso di libri, giornali, riviste e articoli di cancelleria","Attività di intermediari del commercio all'ingrosso di libri, giornali, riviste e articoli di cancelleria","Activities of agents involved in the wholesale of books, newspapers, magazines and stationery","Tätigkeiten der Großhandelsvermittlung von Büchern, Zeitungen, Zeitschriften und Schreibwaren","5"
"461831","46.18.31","Attività di intermediari del commercio all'ingrosso di libri","Attività di intermediari del commercio all'ingrosso di libri","Activities of agents involved in the wholesale of books","Tätigkeiten der Großhandelsvermittlung von Büchern","6"
"461832","46.18.32","Attività di intermediari del commercio all'ingrosso di giornali e riviste","Attività di intermediari del commercio all'ingrosso di giornali e riviste","Activities of agents involved in the wholesale of newspapers and magazines","Tätigkeiten der Großhandelsvermittlung von Zeitungen und Zeitschriften","6"
"461833","46.18.33","Attività di intermediari del commercio all'ingrosso di articoli di cancelleria","Attività di intermediari del commercio all'ingrosso di articoli di cancelleria","Activities of agents involved in the wholesale of stationery","Tätigkeiten der Großhandelsvermittlung von Schreibwaren","6"
"46184","46.18.4","Attività di intermediari del commercio all'ingrosso di automobili, altri autoveicoli e motocicli","Attività di intermediari del commercio all'ingrosso di automobili, altri autoveicoli e motocicli","Activities of agents involved in the wholesale of cars, other motor vehicles and motorcycles","Tätigkeiten der Großhandelsvermittlung von Autos, anderen Kraftfahrzeugen und Krafträdern","5"
